DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION
sqlite,Command,SET,SET not supported in SQLite,
sqlite,Command,PSQL_CMD,PSQL Command not supported,
sqlite,Operator,TYPE_CAST,"unrecognized token: "":""",
sqlite,Command,CREATE,"CREATE things, MATERILIZE, SCHEMA, DOMAIN, OPERATOR, FUNCTION, RULE,STATISTICS",
sqlite,UFunction,GENERAL,Unsupported Explicit function,
sqlite,Misc,PARTITION,Unsupported Partition,
sqlite,Type,TYPENE,Unsupported type,
sqlite,Command,ALTER,ALTER things,
sqlite,Command,SQL,general,
sqlite,Misc,CLAUSE,Unsupported clause,
sqlite,UFunction,PGUNIQUE,Postgresql unique function,
sqlite,Operator,OP,Unsupported operator,
sqlite,Misc,PK,cannot add a primary key column,
sqlite,Misc,MISC,implementation discrepancies,
sqlite,Command,TXN,Specific transaction pattern not supported,
mysql,Command,PSQL_CMD,PSQL Command not supported,
mysql,Operator,TYPE_CAST,"unrecognized token: "":""",
mysql,UFunction,GENERAL,Unsupported Explicit function,
mysql,Type,TYPENE,Unsupported type,
mysql,Command,SQL,general,
mysql,Misc,CLAUSE,Unsupported clause,
mysql,UFunction,PGUNIQUE,Postgresql unique function,
mysql,Operator,OP,Unsupported operator,
mysql,Misc,MISC,implementation discrepancies,
mysql,Misc,SYNTAX,unsupported syntax,
mysql,Misc,CASE_SEN,Case sensitive schema,
mysql,Command,CREATE,CREATE things,
mysql,Command,ALTER,ALTER things,
mysql,Setting,SYSV,Unknown System variable,
mysql,Function,BIT_POSITION,POSITION function for bit string,
mysql,Misc,T_CAS,Truncate on cascade if FK,
mysql,Command,TXN,Transaction name,
mysql,Type,VARCHAR,VARCHAR,
duckdb,UFunction,GENERAL,Unsupported Explicit function,
duckdb,UFunction,PGUNIQUE,Postgresql unique function,
duckdb,Setting,SYSV,Unknown System variable,
duckdb,Misc,SYNTAX,Unsupported operation syntax,
duckdb,Type,TYPENE,Unsupported type,
duckdb,Command,CR_FUNC,Create function not supported,
duckdb,Misc,NUMERIC,Numeric type argument,
duckdb,Command,INHERIT,Create table inherit,
duckdb,Command,SQL,General,
duckdb,Function,UPDATE_RET,UPDATE return value discrepancy,
duckdb,UFunction,NIMPL,Not implement,
duckdb,Misc,PARTITION,Unsupported Partition,
duckdb,Command,PSQL_CMD,PSQL Command not supported,
duckdb,Misc,SERIES,Can't plus subquery with generate_series(),
duckdb,Operator,UCAST,Unsupported cast,
duckdb,Function,GEN_SERIES,DuckDB one but PostgreSQL many,
duckdb,Operator,OP,Unsupported operator,
duckdb,Function,BIT_POSITION,POSITION function for bit string,
duckdb,Misc,MISC,misc,
